"iWine","Type","Color","Category","Size","Value","Price","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","LikeVotes","LikePercent","LikeIt","PNotes","PScore","CNotes","CScore","WA","WAWeb","WS","WSWeb","WE","WEWeb","BR","BRWeb","GV","GVWeb","LF","LFWeb","JK","JKWeb","LD","LDWeb","SJ","SJWeb","WD","WDWeb","GA","GAWeb","MFW","MFWWeb","WWR","WWRWeb","TT","TTWeb"
"1907363","Red","Red","Dry","(n/a)","0","0","0","0","2012","B.R. Cohn Cabernet Sauvignon Gold Label","USA, California","B.R. Cohn","Cabernet Sauvignon","Cabernet Sauvignon","Gold Label","Unknown","USA","California","Unknown","California","2015","2017","Community Average","22","1","True","1","91","30","90.2962962962963","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2163849","Red","Red","Dry","750ml","73","73","1","0","2013","B.R. Cohn Cabernet Sauvignon Olive Hill Estate Vineyards","USA, California, Sonoma County, Sonoma Valley","B.R. Cohn","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Olive Hill Estate Vineyards","USA","California","Sonoma County","Sonoma Valley","2017","2021","Community Average","0","","","","","4","90.25","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1692993","Red","Red","Dry","(n/a)","0","0","0","0","2010","B.R. Cohn Cabernet Sauvignon Olive Hill Estate Vineyards","USA, California, Sonoma County, Sonoma Valley","B.R. Cohn","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Olive Hill Estate Vineyards","USA","California","Sonoma County","Sonoma Valley","2015","2018","Community Average","11","1","","","","21","89.7894736842105","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620877","Red","Red","Dry","750ml","55","55","1","0","2009","B.R. Cohn Cabernet Sauvignon Olive Hill Estate Vineyards","USA, California, Sonoma County, Sonoma Valley","B.R. Cohn","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Olive Hill Estate Vineyards","USA","California","Sonoma County","Sonoma Valley","2013","2017","Community Average","10","1","","","","19","91.5555555555556","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2325207","Red","Red","Dry","(n/a)","0","0","0","0","2014","Badet Clement & Co Vin de Pays d'Oc Pontificis","France, Languedoc Roussillon, Vin de Pays d'Oc","Badet Clement & Co","Grenache Blend","Grenache","Pontificis","Unknown","France","Languedoc Roussillon","Unknown","Vin de Pays d'Oc","2016","2018","Community Average","15","1","","","","29","87.1785714285714","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2238086","Red","Red","Dry","(n/a)","0","0","0","0","2010","Bodegas Balbas Ribera del Duero Ardal Reserva","Spain, Castilla y León, Ribera del Duero","Bodegas Balbas","Tempranillo Blend","Tempranillo","Ardal Reserva","Unknown","Spain","Castilla y León","Unknown","Ribera del Duero","2017","2028","Community Average","40","1","","","","85","89.8289473684211","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1850630","Red","Red","Dry","750ml","28","28","1","0","2013","Belle Glos Pinot Noir Clark & Telephone Vineyard","USA, California, Central Coast, Santa Maria Valley","Belle Glos","Pinot Noir","Pinot Noir","Unknown","Clark & Telephone Vineyard","USA","California","Central Coast","Santa Maria Valley","2015","2017","Community Average","107","0.897196261682243","","","","291","89.9078014184397","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610945","Red","Red","Dry","750ml","36.1588","36.1588","1","0","2012","Belle Glos Pinot Noir Clark & Telephone Vineyard","USA, California, Central Coast, Santa Maria Valley","Belle Glos","Pinot Noir","Pinot Noir","Unknown","Clark & Telephone Vineyard","USA","California","Central Coast","Santa Maria Valley","2014","2017","Community Average","88","0.977272727272727","","","","274","91.1140684410646","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1360469","Red","Red","Dry","750ml","24.5","24.5","1","0","2011","Belle Glos Pinot Noir Clark & Telephone Vineyard","USA, California, Central Coast, Santa Maria Valley","Belle Glos","Pinot Noir","Pinot Noir","Unknown","Clark & Telephone Vineyard","USA","California","Central Coast","Santa Maria Valley","2013","2018","Community Average","106","0.915094339622642","True","1","93","297","90.925","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1682781","Red","Red","Dry","(n/a)","0","0","0","0","2012","Belle Glos Pinot Noir Las Alturas Vineyard","USA, California, Central Coast, Santa Lucia Highlands","Belle Glos","Pinot Noir","Pinot Noir","Unknown","Las Alturas Vineyard","USA","California","Central Coast","Santa Lucia Highlands","2014","2017","Community Average","84","0.928571428571429","","","","200","90.0307692307692","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"570481","Red","Red","Dry","(n/a)","0","0","0","0","2007","Belle Glos Pinot Noir Meiomi","USA, California, Sonoma County, Sonoma Coast","Belle Glos","Pinot Noir","Pinot Noir","Meiomi","Unknown","USA","California","Sonoma County","Sonoma Coast","2010","2012","Community Average","5","0.8","","","","93","88.4044943820225","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2427291","Rosé","Rosé","Dry","(n/a)","0","0","0","0","2015","Belle Glos Pinot Noir Rosé Casa Torres","USA, California, Central Coast, Santa Barbara County","Belle Glos","Pinot Noir","Pinot Noir","Rosé","Casa Torres","USA","California","Central Coast","Santa Barbara County","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1845037","White - Sparkling","White","Sparkling","(n/a)","0","0","0","0","1001","Belstar Prosecco Brut","Italy, Veneto, Prosecco","Belstar","Glera","Glera","Brut","Unknown","Italy","Veneto","Unknown","Prosecco","2015","2016","Community Average","4","1","","","","13","87.0769230769231","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1831591","Red","Red","Dry","(n/a)","0","0","0","0","2012","Benziger Family Winery Joaquin's Inferno Sonoma Mountain","USA, California, Sonoma County, Sonoma Mountain","Benziger Family Winery","Red Blend","Red Blend","Unknown","Joaquin's Inferno","USA","California","Sonoma County","Sonoma Mountain","2015","2018","Community Average","5","1","","","","8","89.625","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1209469","Red","Red","Dry","(n/a)","0","0","0","0","2010","Benziger Family Winery Tribute","USA, California, Sonoma County, Sonoma Mountain","Benziger Family Winery","Red Bordeaux Blend","Red Bordeaux Blend","Tribute","Unknown","USA","California","Sonoma County","Sonoma Mountain","2015","2022","Community Average","7","1","","","","20","91.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524669","White","White","Dry","(n/a)","0","0","0","0","2011","Bethel Heights Chardonnay","USA, Oregon, Willamette Valley","Bethel Heights","Chardonnay","Chardonnay","Unknown","Unknown","USA","Oregon","Willamette Valley","Willamette Valley","2014","2018","Community Average","1","1","","","","4","86","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1169454","Red","Red","Dry","(n/a)","0","0","0","0","2009","Bethel Heights Pinot Noir Casteel Reserve","USA, Oregon, Willamette Valley, Eola - Amity Hills","Bethel Heights","Pinot Noir","Pinot Noir","Casteel Reserve","Unknown","USA","Oregon","Willamette Valley","Eola - Amity Hills","2014","2017","Community Average","8","1","","","","21","90.85","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1382334","Red","Red","Dry","(n/a)","0","0","0","0","2009","Bethel Heights Pinot Noir Libertine","USA, Oregon, Willamette Valley, Eola - Amity Hills","Bethel Heights","Pinot Noir","Pinot Noir","Libertine","Unknown","USA","Oregon","Willamette Valley","Eola - Amity Hills","2015","2022","Community Average","1","1","","","","7","92.8571428571429","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1637798","Rosé","Rosé","Dry","(n/a)","0","0","0","0","2012","Bethel Heights Pinot Noir Rosé","USA, Oregon, Willamette Valley, Eola - Amity Hills","Bethel Heights","Pinot Noir","Pinot Noir","Rosé","Unknown","USA","Oregon","Willamette Valley","Eola - Amity Hills","2014","2016","Community Average","0","","","1","89","5","89.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1070759","Red","Red","Dry","(n/a)","0","0","0","0","2009","Viña Bisquertt Syrah Casa La Joya Reserve","Chile, Rapel Valley, Colchagua Valley","Viña Bisquertt","Syrah","Syrah","Casa La Joya Reserve","Unknown","Chile","Rapel Valley","Colchagua Valley","Unknown","2011","2012","Community Average","1","1","","","","17","86.5333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501447","White","White","Dry","(n/a)","0","0","0","0","2011","blüfeld Riesling Medium Sweet","Germany, Mosel Saar Ruwer","blüfeld","Riesling","Riesling","Medium Sweet","Unknown","Germany","Mosel Saar Ruwer","Unknown","Unknown","2012","2013","Community Average","1","1","","","","9","86","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1840855","White","White","Dry","(n/a)","0","0","0","0","2012","BNA Wine Group Chardonnay Butternut","USA, California","BNA Wine Group","Chardonnay","Chardonnay","Butternut","Unknown","USA","California","Unknown","California","2015","2015","Community Average","10","0.9","","","","30","88.08","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1207424","White","White","Dry","(n/a)","0","0","0","0","2010","Bollini Pinot Grigio Trentino","Italy, Trentino-Alto Adige, Trentino","Bollini","Pinot Grigio","Pinot Gris","Unknown","Unknown","Italy","Trentino-Alto Adige","Trentino","Trentino","2011","2013","Community Average","1","1","","","","7","86.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2527445","White","White","Dry","(n/a)","0","0","0","0","2015","Brochelle Vineyards Chardonnay Reserve","USA, California, Central Coast, Paso Robles","Brochelle Vineyards","Chardonnay","Chardonnay","Reserve","Unknown","USA","California","Central Coast","Paso Robles","2017","2019","Community Average","1","1","","","","2","91.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2367212","Red","Red","Dry","(n/a)","0","0","0","0","2014","Brochelle Vineyards Luxe Cuvee","USA, California, Central Coast, Paso Robles","Brochelle Vineyards","Grenache Blend","Grenache","Luxe Cuvee","Unknown","USA","California","Central Coast","Paso Robles","9999","2028","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2464783","Red","Red","Dry","(n/a)","0","0","0","0","2014","Brochelle Vineyards Silk Santa Maria Valley","USA, California, Central Coast, Santa Maria Valley","Brochelle Vineyards","Red Blend","Red Blend","Silk","Santa Maria Valley","USA","California","Central Coast","Santa Maria Valley","2017","2026","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1584457","Red","Red","Dry","750ml","24.99","24.99","1","0","2011","Brochelle Vineyards Zinfandel","USA, California, Central Coast, Paso Robles","Brochelle Vineyards","Zinfandel","Zinfandel","Unknown","Unknown","USA","California","Central Coast","Paso Robles","2013","2020","Community Average","5","1","True","1","91","15","91.9333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1865526","White","White","Dry","(n/a)","0","0","0","0","2012","Burlwood Cellars Chardonnay Private Reserve","USA, California","Burlwood Cellars","Chardonnay","Chardonnay","Private Reserve","Unknown","USA","California","Unknown","California","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1865527","Red","Red","Dry","(n/a)","0","0","0","0","2012","Burlwood Cellars Merlot","USA, California","Burlwood Cellars","Merlot","Merlot","Unknown","Unknown","USA","California","Unknown","California","9999","9999","none","0","","","","","1","90","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1669946","Red","Red","Dry","(n/a)","0","0","0","0","2010","C.V.N.E. (Compañía Vinícola del Norte de España) Rioja Cune Crianza","Spain, La Rioja, La Rioja Alta, Rioja","C.V.N.E. (Compañía Vinícola del Norte de España)","Tempranillo Blend","Tempranillo","Cune Crianza","Unknown","Spain","La Rioja","La Rioja Alta","Rioja","2014","2017","Community Average","27","0.888888888888889","","","","73","86.016393442623","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2312678","Red","Red","Dry","750ml","14.99","14.99","3","0","2012","C.V.N.E. (Compañía Vinícola del Norte de España) Rioja Cune Reserva","Spain, La Rioja, La Rioja Alta, Rioja","C.V.N.E. (Compañía Vinícola del Norte de España)","Tempranillo Blend","Tempranillo","Cune Reserva","Unknown","Spain","La Rioja","La Rioja Alta","Rioja","2017","2023","Community Average","50","0.9","","","","102","88.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1530016","White - Fortified","White","Fortified","750ml","12.99","12.99","3","0","2010","Château de Caladroy Muscat de Rivesaltes","France, Languedoc Roussillon, Roussillon, Muscat de Rivesaltes","Château de Caladroy","Muscat","Muscat","Unknown","Unknown","France","Languedoc Roussillon","Roussillon","Muscat de Rivesaltes","2012","2015","Community Average","1","1","","","","3","88","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1637036","Red","Red","Dry","750ml","11.99","11.99","3","0","2010","Cantina Tollo Montepulciano d'Abruzzo Valle D'Oro","Italy, Abruzzi, Montepulciano d'Abruzzo","Cantina Tollo","Montepulciano","Montepulciano","Valle D'Oro","Unknown","Italy","Abruzzi","Unknown","Montepulciano d'Abruzzo","9999","9999","none","3","1","","","","6","88.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"549201","White - Sparkling","White","Sparkling","(n/a)","0","0","0","0","1001","Caposaldo Prosecco","Italy, Veneto, Prosecco","Caposaldo","Glera","Glera","Unknown","Unknown","Italy","Veneto","Unknown","Prosecco","2014","2015","Community Average","6","1","","","","26","84.76","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1849699","White - Sparkling","White","Sparkling","(n/a)","0","0","0","0","2010","Domaine Carneros Brut","USA, California, Napa / Sonoma, Carneros","Domaine Carneros","Champagne Blend","Champagne Blend","Brut","Unknown","USA","California","Napa / Sonoma","Carneros","2014","2016","Community Average","28","1","","","","54","90.078431372549","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2216313","Red","Red","Dry","(n/a)","0","0","0","0","2009","Tenuta Cavalier Pepe Taurasi Opera Mia","Italy, Campania, Taurasi DOCG","Tenuta Cavalier Pepe","Aglianico","Aglianico","Opera Mia","Unknown","Italy","Campania","Unknown","Taurasi DOCG","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2303395","Red","Red","Dry","750ml","64.99","64.99","1","0","2014","Caymus Cabernet Sauvignon","USA, California, Napa Valley","Caymus","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Napa Valley","2017","2026","Community Average","136","0.897058823529412","","","","253","90.6595744680851","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1839907","Red","Red","Dry","750ml","79","79","1","0","2013","Caymus Cabernet Sauvignon","USA, California, Napa Valley","Caymus","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Napa Valley","2016","2024","Community Average","208","0.9375","","","","440","90.9832134292566","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1805868","Red","Red","Dry","1.0L","64.99","64.99","1","0","2012","Caymus Cabernet Sauvignon 40th Anniversary","USA, California, Napa Valley","Caymus","Cabernet Sauvignon","Cabernet Sauvignon","40th Anniversary","Unknown","USA","California","Napa Valley","Napa Valley","2015","2021","Community Average","554","0.837545126353791","True","1","91","1329","90.2906793048973","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1890808","Red","Red","Dry","(n/a)","0","0","0","0","2012","Chappellet Mountain Cuvée","USA, California, Napa Valley","Chappellet","Red Bordeaux Blend","Red Bordeaux Blend","Mountain Cuvée","Unknown","USA","California","Napa Valley","Napa Valley","2014","2018","Community Average","29","0.96551724137931","","","","79","88.9295774647887","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2196123","White","White","Dry","(n/a)","0","0","0","0","2014","Chateau Ste. Michelle Riesling","USA, Washington, Columbia Valley","Chateau Ste. Michelle","Riesling","Riesling","Unknown","Unknown","USA","Washington","Columbia Valley","Columbia Valley","2015","2016","Community Average","34","0.941176470588235","","","","68","85.6969696969697","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1392003","White","White","Dry","(n/a)","0","0","0","0","2011","Chateau Ste. Michelle Riesling","USA, Washington, Columbia Valley","Chateau Ste. Michelle","Riesling","Riesling","Unknown","Unknown","USA","Washington","Columbia Valley","Columbia Valley","2012","2015","Community Average","59","0.983050847457627","","","","173","85.859756097561","","","","","","","","","","","","","","","","","","","","","","","","","***","http://www.wawinereport.com/2012/09/five-wines-under-15-september-2012.html","",""
"237135","Red - Fortified","Red","Fortified","(n/a)","0","0","0","0","1001","Childress Vineyards Starbound","USA, North Carolina, Yadkin Valley","Childress Vineyards","Port Blend","Port Blend","Starbound","Unknown","USA","North Carolina","Unknown","Yadkin Valley","9999","2008","Community Average","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1576709","Red","Red","Dry","(n/a)","0","0","0","0","2009","Clos du Val Cabernet Sauvignon Stags Leap District","USA, California, Napa Valley, Stags Leap District","Clos du Val","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Stags Leap District","2015","2022","Community Average","18","0.888888888888889","","","","73","89.3239436619718","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1937008","Red","Red","Dry","(n/a)","0","0","0","0","2012","Viña Cobos Malbec Bramare Lujan de Cuyo","Argentina, Mendoza, Lujan de Cuyo","Viña Cobos","Malbec","Malbec","Bramare","Unknown","Argentina","Mendoza","Lujan de Cuyo","Unknown","2015","2019","Community Average","7","1","","","","18","90.7333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2131446","Red","Red","Dry","(n/a)","0","0","0","0","2009","Cantine Collalto Cabernet Sauvignon Piave Riserva","Italy, Veneto, Piave","Cantine Collalto","Cabernet Sauvignon","Cabernet Sauvignon","Riserva","Unknown","Italy","Veneto","Unknown","Piave","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1053046","Rosé - Sparkling","Rosé","Sparkling","(n/a)","0","0","0","0","1001","Cantine Collalto Spumante Rosè Extra Dry Veneto IGT","Italy, Veneto, Veneto IGT","Cantine Collalto","Rosé Blend","Rosé Blend","Spumante Rosè Extra Dry","Unknown","Italy","Veneto","Unknown","Veneto IGT","2016","2018","Community Average","2","1","","","","3","86.3333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2433243","White","White","Dry","750ml","12.99","12.99","1","0","2014","Concha y Toro Chardonnay Marqués de Casa Concha","Chile, Limarí Valley","Concha y Toro","Chardonnay","Chardonnay","Marqués de Casa Concha","Unknown","Chile","Limarí Valley","Unknown","Unknown","2016","2019","Community Average","4","1","","","","10","88.7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417383","White","White","Dry","(n/a)","0","0","0","0","2011","Conundrum Wines White Table Wine","USA, California","Conundrum Wines","White Blend","White Blend","White Table Wine","Unknown","USA","California","Unknown","California","2011","2013","Community Average","82","0.695121951219512","","","","286","85.8992805755396","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1180742","White","White","Dry","(n/a)","0","0","0","0","2010","Conundrum Wines White Table Wine","USA, California","Conundrum Wines","White Blend","White Blend","White Table Wine","Unknown","USA","California","Unknown","California","2011","2013","Community Average","47","0.787234042553192","","","","317","87.0521172638436","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1884407","Red","Red","Dry","(n/a)","0","0","0","0","2009","Creo Cabernet Sauvignon Clajeux Vineyard","USA, California, Sonoma County, Chalk Hill","Creo","Cabernet Sauvignon","Cabernet Sauvignon","Clajeux Vineyard","Unknown","USA","California","Sonoma County","Chalk Hill","2013","2022","Community Average","4","1","","","","18","92.6111111111111","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1054555","White - Sparkling","White","Sparkling","(n/a)","0","0","0","0","1001","Cristalino Cava Brut","Spain, Cava","Cristalino","Macabeo-Xarel-lo-Parellada Blend","Macabeo-Xarel-lo-Parellada Blend","Brut","Unknown","Spain","Spain","Unknown","Cava","2009","2011","Community Average","45","0.822222222222222","","","","410","85.2956989247312","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1219458","Red","Red","Dry","(n/a)","0","0","0","0","2010","Cusumano Nero d'Avola Sicilia","Italy, Sicily, Sicilia","Cusumano","Nero d'Avola","Nero d'Avola","Unknown","Unknown","Italy","Sicily","Unknown","Sicilia","2011","2014","Community Average","7","0.714285714285714","","","","36","85.7428571428571","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1318749","Red","Red","Dry","(n/a)","0","0","0","0","2010","Cusumano Sicilia Benuara","Italy, Sicily, Sicilia","Cusumano","Red Blend","Red Blend","Benuara","Unknown","Italy","Sicily","Unknown","Sicilia","2013","2018","Community Average","2","1","","","","11","85.5555555555556","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1418948","White","White","Dry","(n/a)","0","0","0","0","2008","Dave Viognier","USA, North Carolina","Dave","Viognier","Viognier","Unknown","Unknown","USA","North Carolina","Unknown","Unknown","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
