"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
479,9/30/2016 0:00:00,256,"PARKVIEW COMMUNITY",3743,8/27/2013 0:00:00,5500,"NCUA Technical Assistance Program",,"Program Grant"
479,9/30/2016 0:00:00,256,"PARKVIEW COMMUNITY",4211,8/1/2014 0:00:00,5500,"NCUA Technical Assistance Program",,"Program Grant"
479,9/30/2016 0:00:00,256,"PARKVIEW COMMUNITY",4212,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
567,9/30/2016 0:00:00,291,"AMBRAW",3151,11/21/2012 0:00:00,400,"Association of Credit Union Leagues",,"Program Grant"
577,9/30/2016 0:00:00,293,"MEMBER PREFERRED",865,6/30/2009 0:00:00,1000,"Association of Credit Union Leagues",,"Not Collected"
613,9/30/2016 0:00:00,311,"EMPIRE ONE",4682,4/30/2015 0:00:00,750,"New York State Credit Union Foundation",,"Program Grant"
613,9/30/2016 0:00:00,311,"EMPIRE ONE",4683,4/28/2015 0:00:00,500,"Cuna",,"Program Grant"
616,9/30/2016 0:00:00,314,"NEW HORIZON",4666,8/3/2015 0:00:00,10000,"Other","OSCUI","Program Grant"
644,9/30/2016 0:00:00,330,"TRAILHEAD",4673,7/28/2015 0:00:00,10000,"National Credit Union Foundation",,"Pass Through"
644,9/30/2016 0:00:00,330,"TRAILHEAD",5376,7/25/2016 0:00:00,7000,"National Credit Union Foundation",,"Pass Through"
665,9/30/2016 0:00:00,342,"PENINSULA COMMUNITY",3327,5/3/2013 0:00:00,10700,"Other","Northwest Credit Union Foundation","Program Grant"
665,9/30/2016 0:00:00,342,"PENINSULA COMMUNITY",5048,3/31/2016 0:00:00,2000000,"Community Development Financial Institutions Fund",,"Capital- unrestricted donation to equity"
665,9/30/2016 0:00:00,342,"PENINSULA COMMUNITY",5228,3/9/2016 0:00:00,10000,"Other","Express Advantage CU/Northwest Area Foundation","Program Grant"
776,9/30/2016 0:00:00,381,"ERIE TIMES",12,1/15/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
776,9/30/2016 0:00:00,381,"ERIE TIMES",3401,8/23/2013 0:00:00,5000,"Association of Credit Union Leagues",,"Program Grant"
838,9/30/2016 0:00:00,413,"APS",594,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
841,9/30/2016 0:00:00,416,"ALLEGHENY CENTRAL",2018,8/15/2012 0:00:00,13877,"NCUA Technical Assistance Program",,"Not Collected"
841,9/30/2016 0:00:00,416,"ALLEGHENY CENTRAL",2019,5/1/2012 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
851,9/30/2016 0:00:00,421,"CHELSEA EMPLOYEES",3994,8/1/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
856,9/30/2016 0:00:00,425,"MOUNTAIN STAR",5427,7/25/2016 0:00:00,15000,"Other","The Office of Small Credit Union Initiatives NCUA","Program Grant"
900,9/30/2016 0:00:00,451,"AMBRIDGE AREA",13,10/15/2008 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
946,9/30/2016 0:00:00,475,"MUSKOGEE",5197,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Pass Through"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",494,11/1/2006 0:00:00,3500,"NCUA Technical Assistance Program",,"Not Collected"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",495,6/30/2011 0:00:00,1344,"Association of Credit Union Leagues",,"Not Collected"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",3285,5/30/2013 0:00:00,4000,"Other","NCUA","Not Collected"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",3455,9/13/2013 0:00:00,2696,"Other","Office of Small Credit Union Initiatives","Program Grant"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",4097,8/1/2014 0:00:00,750,"Other","Northwest Credit Union Association","Pass Through"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",4098,8/1/2014 0:00:00,6000,"Other","NCUA RDC","Program Grant"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",4657,7/31/2015 0:00:00,5500,"Other","OSCUI","Pass Through"
960,9/30/2016 0:00:00,482,"PACIFIC CREST",4898,7/21/2015 0:00:00,849,"National Credit Union Foundation",,"Pass Through"
967,9/30/2016 0:00:00,486,"GOLD COAST",3322,5/6/2013 0:00:00,2850,"Other","Office of Small Credit Union Initiatives","Program Grant"
986,9/30/2016 0:00:00,494,"URE",595,1/12/2010 0:00:00,3000,"Other","PA Credit Union Foundation  (Web Site Grant)","Program Grant"
1101,9/30/2016 0:00:00,549,"CARNEGIE MELLON UNIVERSITY",4452,6/4/2015 0:00:00,5000,"Other","PA Credit Union Foundation","Program Grant"
1101,9/30/2016 0:00:00,549,"CARNEGIE MELLON UNIVERSITY",4453,4/2/2015 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
1104,9/30/2016 0:00:00,551,"EMBARK",4524,8/1/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,9/30/2016 0:00:00,551,"EMBARK",4723,8/5/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,9/30/2016 0:00:00,551,"EMBARK",5027,3/5/2016 0:00:00,3116,"Other","OSCUI Grant Program","Program Grant"
1111,9/30/2016 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",19,1/1/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
1111,9/30/2016 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3092,11/15/2012 0:00:00,650,"Association of Credit Union Leagues",,"Not Collected"
1111,9/30/2016 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3176,1/23/2013 0:00:00,5000,"Association of Credit Union Leagues",,"Not Collected"
1113,9/30/2016 0:00:00,555,"CORRECTIONAL WORKERS",4017,7/28/2014 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1113,9/30/2016 0:00:00,555,"CORRECTIONAL WORKERS",4733,9/4/2015 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1117,9/30/2016 0:00:00,557,"WIDGET",5397,7/25/2016 0:00:00,15000,"Community Development Financial Institutions Fund",,"Program Grant"
1129,9/30/2016 0:00:00,563,"MOPAC EMPLOYEES",9,11/15/2012 0:00:00,1000,"Other","TCUL","Program Grant"
1129,9/30/2016 0:00:00,563,"MOPAC EMPLOYEES",4317,12/1/2014 0:00:00,1000,"Other","Cornerstone","Program Grant"
1129,9/30/2016 0:00:00,563,"MOPAC EMPLOYEES",4441,6/29/2015 0:00:00,500,"Association of Credit Union Leagues",,"Program Grant"
1129,9/30/2016 0:00:00,563,"MOPAC EMPLOYEES",4442,6/29/2015 0:00:00,1500,"Association of Credit Union Leagues",,"Program Grant"
1130,9/30/2016 0:00:00,564,"LONGVIEW",3715,1/20/2014 0:00:00,2750,"Other","Cornerstone Credit Union League","Program Grant"
1250,9/30/2016 0:00:00,621,"HAMPTON VA",3473,8/27/2013 0:00:00,2900,"Other","NCUA OSCUI","Program Grant"
1250,9/30/2016 0:00:00,621,"HAMPTON VA",4528,4/2/2015 0:00:00,3240,"Other","NCUA OSCUI","Program Grant"
1261,9/30/2016 0:00:00,625,"LANGLEY",21,6/25/2009 0:00:00,57686,"Enterprise Grant Program",,"Not Collected"
1261,9/30/2016 0:00:00,625,"LANGLEY",987,6/30/2012 0:00:00,100000,"Enterprise Grant Program",,"Not Collected"
1261,9/30/2016 0:00:00,625,"LANGLEY",3855,6/20/2014 0:00:00,164817,"Enterprise Grant Program",,"Program Grant"
1261,9/30/2016 0:00:00,625,"LANGLEY",3856,6/20/2014 0:00:00,1500,"Other","Armed Forces Financial Network","Pass Through"
1316,9/30/2016 0:00:00,652,"TALLAHASSEE-LEON",5356,9/27/2016 0:00:00,1768250,"Community Development Financial Institutions Fund",,"Program Grant"
1316,9/30/2016 0:00:00,652,"TALLAHASSEE-LEON",5357,6/23/2016 0:00:00,10000,"National Credit Union Foundation",,"Pass Through"
1368,9/30/2016 0:00:00,678,"PASADENA SERVICE",5374,7/25/2016 0:00:00,7000,"Other","Office of Small Credit Union Initiatives","Pass Through"
1407,9/30/2016 0:00:00,694,"DEMOCRACY",5205,5/2/2016 0:00:00,7500,"Other","NCUA Office of Small CU Initiatives","Program Grant"
1409,9/30/2016 0:00:00,695,"EL PASO AREA TEACHERS",4722,7/29/2015 0:00:00,24000,"Other","OSCUI","Program Grant"
1479,9/30/2016 0:00:00,725,"ARKANSAS VALLEY",496,12/9/2011 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
1479,9/30/2016 0:00:00,725,"ARKANSAS VALLEY",3399,8/27/2013 0:00:00,2395,"NCUA Technical Assistance Program",,"Program Grant"
1524,9/30/2016 0:00:00,744,"KILGORE SHELL EMPLOYEES",10,5/25/2012 0:00:00,2300,"Association of Credit Union Leagues",,"Not Collected"
1524,9/30/2016 0:00:00,744,"KILGORE SHELL EMPLOYEES",3195,2/21/2013 0:00:00,2000,"Association of Credit Union Leagues",,"Not Collected"
1524,9/30/2016 0:00:00,744,"KILGORE SHELL EMPLOYEES",3680,2/20/2014 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1524,9/30/2016 0:00:00,744,"KILGORE SHELL EMPLOYEES",4291,2/19/2015 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1524,9/30/2016 0:00:00,744,"KILGORE SHELL EMPLOYEES",5004,4/4/2016 0:00:00,1250,"Other","Cornerstone Credit Union League","Program Grant"
1558,9/30/2016 0:00:00,761,"KERR COUNTY",11,9/16/2010 0:00:00,750000,"Community Development Financial Institutions Fund",,"Not Collected"
1558,9/30/2016 0:00:00,761,"KERR COUNTY",2758,9/15/2012 0:00:00,1084087,"Community Development Financial Institutions Fund",,"Not Collected"
1607,9/30/2016 0:00:00,784,"BIG ISLAND",497,1/13/2012 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1607,9/30/2016 0:00:00,784,"BIG ISLAND",3583,8/27/2013 0:00:00,8000,"NCUA Technical Assistance Program",,"Program Grant"
1646,9/30/2016 0:00:00,805,"CLAIRTON WORKS",24,4/21/2011 0:00:00,719,"Other","PA Credit Union Foundation","Not Collected"
1726,9/30/2016 0:00:00,839,"BATON ROUGE TELCO",4123,7/1/2014 0:00:00,52754,"Other","Louisiana Workforce Commission","Program Grant"
1726,9/30/2016 0:00:00,839,"BATON ROUGE TELCO",5422,8/24/2016 0:00:00,7500,"Other","NCUA - Office of Small Credit Union Initiatives","Program Grant"
1759,9/30/2016 0:00:00,851,"INSPIRE",3822,5/12/2014 0:00:00,8307,"Association of Credit Union Leagues",,"Program Grant"
1785,9/30/2016 0:00:00,859,"HAWAII SCHOOLS",506,5/24/2011 0:00:00,5747,"NCUA Technical Assistance Program",,"Program Grant"
1785,9/30/2016 0:00:00,859,"HAWAII SCHOOLS",893,5/9/2012 0:00:00,5314,"NCUA Technical Assistance Program",,"Program Grant"
1810,9/30/2016 0:00:00,868,"ROME",5138,5/1/2016 0:00:00,598,"National Credit Union Foundation",,"Program Grant"
1810,9/30/2016 0:00:00,868,"ROME",5139,3/1/2016 0:00:00,299,"National Credit Union Foundation",,"Program Grant"
1817,9/30/2016 0:00:00,873,"MAUI TEACHERS",507,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
1827,9/30/2016 0:00:00,876,"MINT VALLEY",4438,6/4/2015 0:00:00,3000,"Other","OSCUI Grant Program","Program Grant"
1880,9/30/2016 0:00:00,903,"HONOLULU FIRE DEPARTMENT",900,8/23/2011 0:00:00,2475,"NCUA Technical Assistance Program",,"Not Collected"
1969,9/30/2016 0:00:00,938,"EDUCATION PERSONNEL",4288,12/15/2014 0:00:00,250,"Other","Illinois Credit Union Foundation","Pass Through"
1969,9/30/2016 0:00:00,938,"EDUCATION PERSONNEL",4844,12/8/2015 0:00:00,1000,"Other","Illinois Credit Union Foundation","Pass Through"
1976,9/30/2016 0:00:00,943,"CENTRAL FLORIDA EDUCATORS",5386,7/28/2016 0:00:00,7000,"NCUA Technical Assistance Program",,"Program Grant"
1982,9/30/2016 0:00:00,945,"CENTRIC",15,11/30/2011 0:00:00,54998,"Other","LA Workforce Commission IWTF","Not Collected"
1982,9/30/2016 0:00:00,945,"CENTRIC",3935,6/30/2014 0:00:00,41156,"Other","LA Workforce Commission IWTP","Program Grant"
1982,9/30/2016 0:00:00,945,"CENTRIC",4089,3/10/2014 0:00:00,2500,"Other","NCUA OSCUI","Program Grant"
1982,9/30/2016 0:00:00,945,"CENTRIC",5438,7/25/2016 0:00:00,7500,"Other","NCUA OSCUI","Program Grant"
1987,9/30/2016 0:00:00,946,"EWA",512,11/28/2008 0:00:00,7000,"NCUA Technical Assistance Program",,"Program Grant"
2046,9/30/2016 0:00:00,969,"PAMPA TEACHERS",866,3/30/2009 0:00:00,100000,"Association of Credit Union Leagues",,"Not Collected"
2056,9/30/2016 0:00:00,975,"SEWERAGE & WATER BOARD EMPLOYEES",2876,8/15/2012 0:00:00,20000,"Other","The Ofc of Small CU Initiatives - NCUA","Not Collected"
2065,9/30/2016 0:00:00,982,"LOWELL MUNICIPAL EMPLOYEES",3475,8/27/2013 0:00:00,1350,"NCUA Technical Assistance Program",,"Program Grant"
2068,9/30/2016 0:00:00,983,"SOUTHERN TEACHERS & PARENTS",17,12/14/2007 0:00:00,29840,"National Credit Union Foundation",,"Not Collected"
2068,9/30/2016 0:00:00,983,"SOUTHERN TEACHERS & PARENTS",18,9/5/2008 0:00:00,13950,"Other","NCUA Office of Small CU Initiatives","Not Collected"
2068,9/30/2016 0:00:00,983,"SOUTHERN TEACHERS & PARENTS",3976,8/1/2014 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
2115,9/30/2016 0:00:00,1002,"ONE SOURCE",4026,7/1/2014 0:00:00,1949,"Cuna",,"Program Grant"
2115,9/30/2016 0:00:00,1002,"ONE SOURCE",4485,4/27/2015 0:00:00,2000,"Cuna",,"Program Grant"
2115,9/30/2016 0:00:00,1002,"ONE SOURCE",4872,10/30/2015 0:00:00,10000,"Other","OFFICE OF SMALL CREDIT UNION INITIATIVES","Program Grant"
2115,9/30/2016 0:00:00,1002,"ONE SOURCE",5208,4/12/2016 0:00:00,2000,"Cuna",,"Program Grant"
2191,9/30/2016 0:00:00,1034,"FIBRE",4359,8/1/2014 0:00:00,7500,"Other","NCUA / O.S.C.U.I.","Program Grant"
2191,9/30/2016 0:00:00,1034,"FIBRE",4839,7/29/2015 0:00:00,7500,"Other","NCUA/O.S.C.U.I","Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",3505,8/12/2013 0:00:00,2000,"New York State Credit Union Foundation",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",3996,7/1/2014 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",3997,7/1/2014 0:00:00,600,"National Credit Union Foundation",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",4269,2/10/2015 0:00:00,6000,"NCUA Technical Assistance Program",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",4530,5/20/2015 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",5162,6/23/2016 0:00:00,500,"National Credit Union Foundation",,"Program Grant"
2209,9/30/2016 0:00:00,1042,"BUFFALO METROPOLITAN",5365,8/17/2016 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
2211,9/30/2016 0:00:00,1044,"M M EMPLOYEES",513,6/17/2013 0:00:00,2189,"NCUA Technical Assistance Program",,"Program Grant"
2227,9/30/2016 0:00:00,1053,"EMPORIA STATE",3825,3/10/2014 0:00:00,7500,"Other","NCUA New Product Grant","Program Grant"
2227,9/30/2016 0:00:00,1053,"EMPORIA STATE",4630,7/29/2015 0:00:00,7500,"Other","NCUA Fraud & Cybersecurity Grant","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",3324,5/29/2013 0:00:00,2550,"Other","NW CU Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",3423,8/27/2013 0:00:00,2495,"Other","OSCUI","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",3424,7/16/2013 0:00:00,2000,"Other","NW CU Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4027,7/15/2014 0:00:00,1000,"Other","NWCUA Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4028,6/30/2014 0:00:00,1000,"Other","NWCUA Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4029,6/30/2014 0:00:00,2500,"Other","OSCUI","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4030,6/1/2014 0:00:00,899,"Other","NCUA Collaborative Grant","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4399,3/26/2015 0:00:00,1500,"Other","NWCUA Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4555,6/29/2015 0:00:00,1495,"Other","NWCUA Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4556,5/27/2015 0:00:00,2500,"Other","NWCUA Foundation","Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",4981,10/29/2015 0:00:00,2500,"Cuna",,"Program Grant"
2237,9/30/2016 0:00:00,1058,"CALCOE",5222,7/25/2016 0:00:00,6900,"Other","OSCUI","Program Grant"
2263,9/30/2016 0:00:00,1068,"FIRST NRV",3507,5/6/2013 0:00:00,3906,"NCUA Technical Assistance Program",,"Program Grant"
2263,9/30/2016 0:00:00,1068,"FIRST NRV",4067,8/1/2014 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
2280,9/30/2016 0:00:00,1074,"HAMAKUA COAST COMMUNITY",3389,7/1/2013 0:00:00,7500,"Other","NCUA OSCUI Urgent Needs","Pass Through"
2280,9/30/2016 0:00:00,1074,"HAMAKUA COAST COMMUNITY",3390,7/1/2013 0:00:00,2193,"NCUA Technical Assistance Program",,"Pass Through"
2280,9/30/2016 0:00:00,1074,"HAMAKUA COAST COMMUNITY",5469,7/28/2016 0:00:00,3000,"NCUA Technical Assistance Program",,"Pass Through"
2403,9/30/2016 0:00:00,1123,"HAWAII",514,7/30/2010 0:00:00,4834,"NCUA Technical Assistance Program",,"Not Collected"
2403,9/30/2016 0:00:00,1123,"HAWAII",515,7/6/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
2403,9/30/2016 0:00:00,1123,"HAWAII",4409,8/26/2014 0:00:00,2000000,"Community Development Financial Institutions Fund",,"Subsidy for Risk or ALL"
2405,9/30/2016 0:00:00,1124,"G.A.P.",3695,3/10/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
2414,9/30/2016 0:00:00,1127,"ROBERTS DAIRY EMPLOYEES",5006,2/1/2016 0:00:00,2500,"Other","Credit Union Foundation of NE","Program Grant"
