,artist,song,rating,location
49,Alabama 3,Woke up This Mornin',80,file://localhost/Users/adventure/Music/Alabama%203/The%20Sopranos%20Soundtrack/32%20Woke%20up%20This%20Mornin'.m4a
61,Alabína,Alabina (De La Noche A La Manana) [Spanish Version],80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/12%20Alabina%20(De%20La%20Noche%20A%20La%20Manana)%20%5BSpanish%20Version%5D.m4a
50,Alabína,Alabína,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/01%20Alabi%CC%81na.m4a
51,Alabína,Baila Maria,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/02%20Baila%20Maria.m4a
56,Alabína,Eshebo (Chebba),80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/07%20Eshebo%20(Chebba).m4a
54,Alabína,Espero,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/05%20Espero.m4a
52,Alabína,Linda,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/03%20Linda.m4a
57,Alabína,Lo Qe Tu Dices (Harramt Ahebbak),80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/08%20Lo%20Qe%20Tu%20Dices%20(Harramt%20Ahebbak).m4a
60,Alabína,Lolai (Ya Habibi Ya Eyni),80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/11%20Lolai%20(Ya%20Habibi%20Ya%20Eyni).m4a
53,Alabína,Rona,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/04%20Rona.m4a
58,Alabína,Tierra Santa,80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/09%20Tierra%20Santa.m4a
55,Alabína,"Yo Te Qiero, Tu Me Qieres",80,"file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/06%20Yo%20Te%20Qiero,%20Tu%20Me%20Qieres.m4a"
59,Alabína,Yo Te Vi (Ah Ya Zein),80,file://localhost/Users/adventure/Music/Alabi%CC%81na/Alabi%CC%81na%20%5BBonusTrack%5D/10%20Yo%20Te%20Vi%20(Ah%20Ya%20Zein).m4a
1553,Alan Silvestri,Everything About You,60,file://localhost/Users/adventure/Music/Compilations/What%20Women%20Want/14%20Everything%20About%20You.m4a
854,Alan Silvestri,Forrest Gump Suite,60,file://localhost/Users/adventure/Music/Music/Compilations/Forrest%20Gump/2-16%20Forrest%20Gump%20Suite.m4a
62,Alanis Morissette,All I Really Want,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/01%20All%20I%20Really%20Want.m4a
67,Alanis Morissette,Forgiven,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/06%20Forgiven.m4a
65,Alanis Morissette,Hand In My Pocket,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/04%20Hand%20In%20My%20Pocket.m4a
69,Alanis Morissette,Head Over Feet,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/08%20Head%20Over%20Feet.m4a
71,Alanis Morissette,Ironic,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/10%20Ironic.m4a
70,Alanis Morissette,Mary Jane,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/09%20Mary%20Jane.m4a
72,Alanis Morissette,Not The Doctor,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/11%20Not%20The%20Doctor.m4a
64,Alanis Morissette,Perfect,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/03%20Perfect.m4a
66,Alanis Morissette,Right Through You,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/05%20Right%20Through%20You.m4a
734,Alanis Morissette,Uninvited,60,file://localhost/Users/adventure/Music/Compilations/City%20Of%20Angels/02%20Uninvited.m4a
73,Alanis Morissette,Wake Up,60,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/12%20Wake%20Up.m4a
68,Alanis Morissette,You Learn,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/07%20You%20Learn.m4a
63,Alanis Morissette,You Oughta Know,80,file://localhost/Users/adventure/Music/Alanis%20Morissette/Jagged%20Little%20Pill/02%20You%20Oughta%20Know.m4a
1170,Aldo Ciccolini,Satie: Gnossiennes - 1. Lent,60,file://localhost/Users/adventure/Music/Compilations/Pure%20Cinema%20Classics%20%5BDisc%202%5D/2-07%20Satie_%20Gnossiennes%20-%201.%20Lent.m4a
789,Alfie Zappacosta,Overload,80,file://localhost/Users/adventure/Music/Compilations/Dirty%20Dancing/09%20Overload.m4a
547,Alfred Scholz; London Festival Orchestra,Bizet LesToreadors,80,file://localhost/Users/adventure/Music/Compilations/25%20-%20Thunderous%20Classics/18%20Bizet%20LesToreadors.m4a
1052,Alicia Keys,Dah Dee Dah (Sexy Thing),60,file://localhost/Users/adventure/Music/Compilations/Men%20In%20Black/04%20Dah%20Dee%20Dah%20(Sexy%20Thing).m4a
74,Alien Ant Farm,Smooth Criminal,80,file://localhost/Users/adventure/Music/Alien%20Ant%20Farm/Anthology/12%20Smooth%20Criminal.m4a
1105,Amanda Marshall,I'll Be Okay,60,file://localhost/Users/adventure/Music/Compilations/My%20Best%20Friend's%20Wedding/06%20I'll%20Be%20Okay.m4a
553,Ambrosian Singers/ National Philharmonic Orchestra cond. Slatkin,Bridal Chorus,60,file://localhost/Users/adventure/Music/Compilations/A%20Midsummer%20Night's%20Dream_%20A%20Classical%20Wedding%20Album/02%20Bridal%20Chorus.m4a
1423,America,Sister Golden Hair,80,file://localhost/Users/adventure/Music/Compilations/The%20Power%20Of%20Rock/10%20Sister%20Golden%20Hair.m4a
719,Anastacia,Love Is A Crime,60,file://localhost/Users/adventure/Music/Compilations/Chicago/18%20Love%20Is%20A%20Crime.m4a
75,Andrea Bocelli,Amapola,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/01%20Amapola.m4p
83,Andrea Bocelli,Because We Believe,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/13%20Because%20We%20Believe.m4p
76,Andrea Bocelli,Besame mucho,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/02%20Besame%20mucho.m4p
82,Andrea Bocelli,Can't Help Falling In Love (Live at Lake Las Vegas),80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/12%20Can't%20Help%20Falling%20In%20Love%20(Live%20at%20Lake%20Las%20Vegas).m4p
77,Andrea Bocelli,Can't Help Falling In Love - live at Lake Las Vegas,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/02%20Can't%20Help%20Falling%20In%20Love%20-%20live%20at%20Lake%20Las%20Vegas.m4a
88,Andrea Bocelli,Caruso,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/05%20Caruso.m4a
95,Andrea Bocelli,E Chiove,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/13%20E%20Chiove.m4a
87,Andrea Bocelli,II Mare Calmo Della Sera,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/04%20II%20Mare%20Calmo%20Della%20Sera.m4a
81,Andrea Bocelli,L'appuntamento (Sentado a 'beira do caminho),80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/10%20L'appuntamento%20(Sentado%20a%20'beira%20do%20caminho).m4p
84,Andrea Bocelli,L'appuntamento (Sentado a 'beira do cominho),60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/14%20L'appuntamento%20(Sentado%20a%20'beira%20do%20cominho).m4a
92,Andrea Bocelli,La Luna Che Non C 'e,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/10%20La%20Luna%20Che%20Non%20C%20'e.m4a
90,Andrea Bocelli,Le tue Parole,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/07%20Le%20tue%20Parole.m4a
89,Andrea Bocelli,Macchine Da Guerra,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/06%20Macchine%20Da%20Guerra.m4a
96,Andrea Bocelli,Miserere (Live),80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/14%20Miserere%20(Live).m4a
86,Andrea Bocelli,Per Amore,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/03%20Per%20Amore.m4a
80,Andrea Bocelli,Pero te extraño,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/08%20Pero%20te%20extran%CC%83o.m4p
93,Andrea Bocelli,Rapsodia,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/11%20Rapsodia.m4a
79,Andrea Bocelli,Solamente una vez,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/06%20Solamente%20una%20vez.m4p
85,Andrea Bocelli,Vivere,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/02%20Vivere.m4a
91,Andrea Bocelli,Vivo Per Lei,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/08%20Vivo%20Per%20Lei.m4a
94,Andrea Bocelli,Voglio restare Cosi,60,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Romanza/12%20Voglio%20restare%20Cosi.m4a
78,Andrea Bocelli &#38; Kenny G,Mi manchi,80,file://localhost/Users/adventure/Music/Andrea%20Bocelli/Amore/04%20Mi%20manchi.m4p
99,Andreas Vollenweider,Across The Iron River,80,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/02%20Across%20The%20Iron%20River.m4a
97,Andreas Vollenweider,Dancing With the Lion,80,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Dancing%20With%20the%20Lion/02%20Dancing%20With%20the%20Lion.m4a
101,Andreas Vollenweider,Eolian Minstrel,80,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/04%20Eolian%20Minstrel.m4a
104,Andreas Vollenweider,Harvest,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/07%20Harvest.m4a
102,Andreas Vollenweider,Jaden Maiden,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/05%20Jaden%20Maiden.m4a
109,Andreas Vollenweider,Lake Of Time,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/14%20Lake%20Of%20Time.m4a
108,Andreas Vollenweider,Leaves Of The Great Tree,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/13%20Leaves%20Of%20The%20Great%20Tree.m4a
107,Andreas Vollenweider,Painter's Waltz,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/12%20Painter's%20Waltz.m4a
100,Andreas Vollenweider,Reason Enough,80,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/03%20Reason%20Enough.m4a
98,Andreas Vollenweider,Song Of Isolde,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/01%20Song%20Of%20Isolde.m4a
106,Andreas Vollenweider,The Five Sisters,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/11%20The%20Five%20Sisters.m4a
103,Andreas Vollenweider,The Secret Shrine Of Icarus,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/06%20The%20Secret%20Shrine%20Of%20Icarus.m4a
105,Andreas Vollenweider,The Years In The Forest,60,file://localhost/Users/adventure/Music/Andreas%20Vollenweider/Eolian%20Minstrel/08%20The%20Years%20In%20The%20Forest.m4a
112,Andrew Lloyd Webber,Entr'Acte,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/2-01%20Entr'Acte.m4a
113,Andrew Lloyd Webber,Masquerade/Why So Silent,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/2-02%20Masquerade_Why%20So%20Silent.m4a
111,Andrew Lloyd Webber,Notes/Prima Donna,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/1-10%20Notes_Prima%20Donna.m4a
114,Andrew Lloyd Webber,Notes/Twisted Every Way,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/2-03%20Notes_Twisted%20Every%20Way.m4a
110,Andrew Lloyd Webber,Overture,80,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/1-02%20Overture.m4a
116,Andrew Lloyd Webber,The Point of No Return,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/2-06%20The%20Point%20of%20No%20Return.m4a
115,Andrew Lloyd Webber,Wandering Child/Bravo Monsieur,60,file://localhost/Users/adventure/Music/Music/Andrew%20Lloyd%20Webber/The%20Phantom%20of%20the%20Opera/2-05%20Wandering%20Child_Bravo%20Monsieur.m4a
1179,André Previn: London Symphony Orchestra,"Tchaikovsky: Swan Lake, Op. 20 - Scene, Act 2: #10",80,"file://localhost/Users/adventure/Music/Compilations/Pure%20Cinema%20Classics%20%5BDisc%202%5D/2-16%20Tchaikovsky_%20Swan%20Lake,%20Op.%2020%20-%20Scene,%20Act%202_%20%2310.m4a"
117,Andy Williams,It's the Most Wonderful Time of the Year,80,file://localhost/Users/adventure/Music/Andy%20Williams/The%20Andy%20Williams%20Christmas%20Album%20(Remastered)/04%20It's%20the%20Most%20Wonderful%20Time%20of%20the%20Year.mp3
618,Angela Lansbury,Beauty And The Beast,80,file://localhost/Users/adventure/Music/Compilations/Beauty%20&#38;%20The%20Beast/09%20Beauty%20And%20The%20Beast.m4a
616,"Angela Lansbury, David Ogden Stiers, Jerry Orbach, Paige O'Hara &#38; Robby Benson",Something There,60,file://localhost/Users/adventure/Music/Compilations/Beauty%20&#38;%20The%20Beast/07%20Something%20There.m4a
1101,Ani DiFranco,Wishin' And Hopin',60,file://localhost/Users/adventure/Music/Compilations/My%20Best%20Friend's%20Wedding/02%20Wishin'%20And%20Hopin'.m4a
118,Animotion,Obsession,80,file://localhost/Users/adventure/Music/Music/Various%20Artists/Pure%2080's/01%20Obsession.m4a
819,Ann Wilson &#38; Mike Reno,"Almost Paradise (Love Theme ""Footloose"")",80,file://localhost/Users/adventure/Music/Compilations/Footloose%20(15th%20Anniversary%20Collectors'%20Edition)/03%20Almost%20Paradise%20(Love%20Theme%20_Footloose_).m4p
878,Anne Dudley,The Full Monty,80,file://localhost/Users/adventure/Music/Compilations/Full%20Monty/06%20The%20Full%20Monty.m4a
879,Anne Dudley,The Lunchbox Has Landed,60,file://localhost/Users/adventure/Music/Compilations/Full%20Monty/07%20The%20Lunchbox%20Has%20Landed.m4a
632,Annie Lennox,Why,80,file://localhost/Users/adventure/Music/Compilations/Boys%20On%20The%20Side/08%20Why.m4a
119,Aqua,Barbie Girl (Radio),80,file://localhost/Users/adventure/Music/Aqua/Aquarium/02%20Barbie%20Girl%20(Radio).m4a
120,Aretha Franklin,Chain of Fools,80,file://localhost/Users/adventure/Music/Aretha%20Franklin/In%20Good%20Company/04%20Chain%20of%20Fools.mp3
1424,Argent,Hold Your Head Up,60,file://localhost/Users/adventure/Music/Compilations/The%20Power%20Of%20Rock/11%20Hold%20Your%20Head%20Up.m4a
123,Arthur Fiedler/Boston Pops Orchestra; Andre Previn/London Symphony,Faure,80,file://localhost/Users/adventure/Music/Arthur%20Fiedler_Boston%20Pops%20Orchestra%3B%20Andre%20Previn_London%20Symphony/Greatest%20Classical%20Melodies/07%20Faure.m4a
126,Arthur Fiedler/Boston Pops Orchestra; Andre Previn/London Symphony,Rachmaninoff,60,file://localhost/Users/adventure/Music/Arthur%20Fiedler_Boston%20Pops%20Orchestra%3B%20Andre%20Previn_London%20Symphony/Greatest%20Classical%20Melodies/14%20Rachmaninoff.m4a
124,Arthur Fiedler/Boston Pops Orchestra; Andre Previn/London Symphony,Rimsky-Korsakov,60,file://localhost/Users/adventure/Music/Arthur%20Fiedler_Boston%20Pops%20Orchestra%3B%20Andre%20Previn_London%20Symphony/Greatest%20Classical%20Melodies/08%20Rimsky-Korsakov.m4a
122,Arthur Fiedler/Boston Pops Orchestra; Andre Previn/London Symphony,Satie,80,file://localhost/Users/adventure/Music/Arthur%20Fiedler_Boston%20Pops%20Orchestra%3B%20Andre%20Previn_London%20Symphony/Greatest%20Classical%20Melodies/04%20Satie.m4a
125,Arthur Fiedler/Boston Pops Orchestra; Andre Previn/London Symphony,Sibelius,60,file://localhost/Users/adventure/Music/Arthur%20Fiedler_Boston%20Pops%20Orchestra%3B%20Andre%20Previn_London%20Symphony/Greatest%20Classical%20Melodies/12%20Sibelius.m4a
121,Arthur Fiedler: Boston Pops Orchestra,"Liszt: Liebesträume, S 541 - O Lieb, So Lang",60,"file://localhost/Users/adventure/Music/Arthur%20Fiedler_%20Boston%20Pops%20Orchestra/Greatest%20Classical%20Melodies/09%20Liszt_%20Liebestra%CC%88ume,%20S%20541%20-%20O%20Lieb,%20So%20Lang.m4a"
128,Asia,Don't Cry,80,file://localhost/Users/adventure/Music/Asia/Then%20&#38;%20Now/04%20Don't%20Cry.m4a
1426,Asia,Heat of the Moment,80,file://localhost/Users/adventure/Music/Compilations/The%20Power%20Of%20Rock/13%20Heat%20of%20the%20Moment.m4a
127,Asia,Only Time Will Tell,80,file://localhost/Users/adventure/Music/Asia/Asia/03%20Only%20Time%20Will%20Tell.m4a
129,Audioslave,Gasoline,80,file://localhost/Users/adventure/Music/Audioslave/Audioslave/03%20Gasoline.m4a
132,Audioslave,Getaway Car,60,file://localhost/Users/adventure/Music/Audioslave/Audioslave/13%20Getaway%20Car.m4a
131,Audioslave,Like a Stone,80,file://localhost/Users/adventure/Music/Audioslave/Audioslave/05%20Like%20a%20Stone.m4a
130,Audioslave,What You Are,80,file://localhost/Users/adventure/Music/Audioslave/Audioslave/04%20What%20You%20Are.m4a
140,Avril Lavigne,Anthing but Ordinary,80,file://localhost/Users/adventure/Music/Avril%20Lavigne/Lets%20Go/08%20Anthing%20but%20Ordinary.m4a
134,Avril Lavigne,Complicated,80,file://localhost/Users/adventure/Music/Avril%20Lavigne/Lets%20Go/02%20Complicated.m4a
146,Avril Lavigne,Girlfriend,80,file://localhost/Users/adventure/Music/Avril%20Lavigne/The%20Best%20Damn%20Thing/02%20Girlfriend.m4a
136,Avril Lavigne,I'm with You,80,file://localhost/Users/adventure/Music/Avril%20Lavigne/Lets%20Go/04%20I'm%20with%20You.m4a
133,Avril Lavigne,Losing Grip,60,file://localhost/Users/adventure/Music/Avril%20Lavigne/Lets%20Go/01%20Losing%20Grip.m4a
137,Avril Lavigne,Mobile,80,file://localhost/Users/adventure/Music/Avril%20Lavigne/Lets%20Go/05%20Mobile.m4a
